12245	64133	441.0282521
12246	12242	846.2397796
12247	12245	398.4493332
12247	12246	76.37137243
12248	12247	461.154899
12248	12313	396.8349964
12249	12246	549.3475814
12250	12248	67.57076578
12250	12314	396.2901624
12256	12249	314.8257478
12256	64135	414.7645523
12257	12256	249.3432545
12257	12258	361.3360755
12258	12249	273.5236828
12259	12258	269.1480743
12260	12257	291.3793584
12260	12259	413.9131756
12286	12341	136.8376846
12287	12286	153.4720705
12288	12287	212.056143
12289	12260	1028.33918
12289	12288	89.75786856
12291	12288	298.4279653
12291	12346	267.879353
12292	12289	286.3273152
12292	12291	99.23630246
12293	63586	90.76392004
12313	12245	459.1800942
12314	12313	67.34347307
12316	12314	615.2377646
12317	12250	610.9971631
12317	12316	394.4659566
12318	12319	87.13116208
12319	12316	480.5336005
12320	12317	417.4346681
12320	12321	126.6727611
12321	12318	190.5667736
12322	70789	74.48227166
12323	12327	92.45738567
12323	63250	194.2883069
12324	12319	340.4357142
12325	12324	143.1087881
12325	63251	152.0403427
12327	12325	108.8995142
12328	12323	93.10614521
12328	12327	143.2872921
12329	63781	182.0541235
12331	12328	115.7855321
12331	12349	82.8385028
12332	12351	224.4558642
12341	12259	1024.736909
12341	12322	376.327115
12342	12323	542.6338721
12342	70788	329.0884858
12343	12342	81.03817658
12343	12344	257.3843992
12344	12342	243.9011761
12345	12286	391.957894
12345	12344	312.332002
12346	12287	398.3590923
12346	12345	153.5842396
12347	12346	43.03713969
12347	12348	187.1165295
12348	12345	104.5628115
12348	64941	327.6640899
12349	12343	503.2373339
12350	12331	200.5348246
12351	12350	100.1786364
12352	68739	125.6208602
12353	12351	158.1211026
12353	12352	106.9306875
12354	12332	182.1215938
12354	12353	215.2697661
12355	12356	110.6068427
12356	68726	482.7362434
12359	69719	58.92618995
12360	12355	416.9102946
12360	12359	79.20603689
12364	84119	39.35723539
12364	95077	29.50124596
12374	15147	345.3330888
12377	12376	244.7099848
12377	12380	262.7779435
12380	12378	121.5820505
12380	12383	259.415943
12383	12381	121.3662424
12383	12399	280.4446805
12384	63944	369.1914455
12384	84118	19.94993666
12385	84099	34.47080626
12385	95139	37.24332794
12385	95340	26.02195647
12385	95342	25.42712314
12385	95598	23.07328883
12386	12387	187.8969982
12387	12388	258.0135175
12387	95470	50.10555113
12388	12391	153.6169477
12388	95469	51.1943098
12389	12383	122.3387612
12390	15150	496.2094689
12390	95586	220.9511196
12391	63928	116.2560099
12395	69755	41.73224476
12396	69755	36.28822073
12397	12398	198.4107285
12398	12394	241.7366013
12398	12400	249.5553964
12399	12398	244.3789571
12400	12395	282.4863664
12400	12401	114.5579694
12401	12396	306.1194499
12401	12402	292.9204595
12402	12409	364.8296353
12402	12412	566.287951
12403	12400	268.5849612
12403	12406	120.0811918
12404	95572	30.04432764
12404	102599	17.08357406
12405	15177	281.900078
12405	78314	26.50527643
12406	12401	248.0568344
12412	104278	123.924322
12419	12421	323.2525034
12420	19964	335.1111264
12421	12417	215.7635972
12421	12422	137.36197
12422	12420	248.8586961
12422	12423	191.7107158
12423	19967	119.2121383
14339	12293	119.4785434
14339	63587	97.68829291
14340	12293	124.0269623
14340	15095	82.30724394
15095	64978	37.70348797
15096	14340	123.2696316
15096	15095	102.6930171
15104	64121	159.179744
15104	69118	154.1907245
15104	99733	89.51837516
15106	15104	478.114246
15106	69091	177.9662995
15107	15106	65.77564497
15107	15110	97.92775825
15107	63544	592.0948701
15110	15106	51.55622936
15110	63287	403.3868994
15111	15110	96.70169456
15119	95198	289.0000097
15122	88697	312.2679259
15123	15128	127.7262434
15126	78788	126.7097011
15127	88434	122.215892
15128	15127	125.2588572
15132	15133	352.7841493
15133	15134	163.609887
15133	15141	397.4827959
15134	15136	310.6613853
15134	15137	354.4510382
15135	15132	47.44801444
15136	66080	94.0257254
15136	66083	107.8457285
15136	68717	225.3872041
15137	15141	180.5356588
15137	15145	421.3593716
15138	15137	167.239882
15138	15169	187.4808411
15138	15219	446.8359164
15139	15140	94.32293444
15139	15143	152.0657492
15140	15128	221.6715165
15140	15135	261.3916482
15140	15143	184.348791
15141	15139	161.9051656
15141	15142	124.8637533
15142	15143	175.8191342
15142	15146	283.6827931
15143	15144	243.7483794
15144	15209	439.1863091
15144	15222	340.6746021
15145	15146	48.10723631
15146	15144	179.5111049
15146	15221	279.0882952
15147	15148	76.25368082
15147	84100	27.14137258
15148	12390	117.4094987
15148	15155	493.5360336
15149	94690	62.12976919
15150	15151	72.55633864
15151	95583	223.9230857
15152	95714	89.47033312
15152	95935	26.33556221
15152	106392	77.31845579
15153	15148	84.82769765
15153	15160	494.7776292
15154	94690	59.75738194
15155	15162	76.8057197
15159	15181	311.5364686
15159	95696	241.8729971
15160	15161	52.62717661
15161	15164	69.34344047
15162	15165	172.0378732
15162	95711	421.7564694
15164	15168	216.0588672
15165	15166	160.9694158
15165	15168	154.9327486
15166	15184	328.2748074
15167	15171	241.1192627
15168	66001	62.90647636
15169	15170	174.5911912
15170	15171	309.2847576
15170	15174	193.420425
15171	15161	325.0787991
15171	15175	386.6512288
15172	15187	254.3233641
15174	15173	121.548044
15174	15234	299.9453274
15175	15172	276.9035405
15175	15193	293.87629
