"0020735","0020736",285.593947152
"0020735","0020738",600.402272036
"0020736","0020649",1018.7518523
"0020736","0020737",266.257429935
"0020736","0020741",604.46582205
"0020737","0020650",1019.82209889
"0020737","0020743",602.215070931
"0020737","0020745",244.594462256
"0020738","0020740",161.543133028
"0020738","0020741",282.182291174
"0020740","0020742",137.939825578
"0020741","0020740",319.421167309
"0020741","0020743",266.39754686
"0020742","0020813",278.067082178
"0020743","0020744",248.183370731
"0020744","0020750",248.65131451
"0020744","0099075",318.84195799
"0020745","0020651",1020.2440703
"0020745","0020744",597.793982299
"0020745","0020746",244.332613292
"0020746","0020652",1020.08792438
"0020746","0020747",243.176104588
"0020746","0020750",531.157089497
"0020747","0020655",1019.21166476
"0020747","0020748",244.088498011
"0020747","0020830",450.782243453
"0020748","0020656",1020.14398261
"0020748","0020749",244.883423087
"0020748","0020831",373.741605154
"0020749","0020657",1020.19792143
"0020749","0020832",296.749864841
"0020749","0020844",257.263465237
"0020750","0020830",256.639991365
"0020750","0077944",461.917527893
"0020813","0020814",355.158550745
"0020813","0020821",289.314589107
"0020814","0020815",287.313822174
"0020815","0020825",264.890450415
"0020819","0020742",169.192886622
"0020820","0020815",517.246016352
"0020820","0099072",28.1387158446
"0020820","0099073",26.4274939608
"0020820","0102707",24.509141416
"0020821","0020819",80.5659659843
"0020821","0020820",51.7793125664
"0020822","0099070",19.351696408
"0020822","0099078",134.901476806
"0020823","0020824",242.364682589
"0020823","0099069",19.2460593461
"0020824","0020833",243.05931862
"0020824","0078694",16.7948545385
"0020825","0020827",244.612830679
"0020827","0020828",243.780794671
"0020828","0020829",243.879973327
"0020830","0020831",256.326447297
"0020830","0077945",540.155611648
"0020831","0020832",255.660375722
"0020831","0078460",618.844395461
"0020832","0020845",272.719808622
"0020832","0078376",704.917210588
"0020833","0020834",244.196435137
"0020833","0078695",22.8575880233
"0020834","0020836",247.286705179
"0020834","0077946",20.3413549789
"0020836","0020840",151.468974369
"0020840","0020841",106.486209532
"0020841","0020927",276.791970307
"0020841","0078642",23.2897905905
"0020843","0020929",392.776965138
"0020844","0020751",1019.79600399
"0020844","0020845",207.966387249
"0020844","0020846",279.23357619
"0020845","0069276",85.7821546457
"0020845","0077942",796.390083486
"0020846","0020752",1022.84477628
"0020846","0020848",151.156337221
"0020846","0020849",325.408788938
"0020846","0069275",86.2943449774
"0020847","0020849",340.065297081
"0020847","0063334",255.602234143
"0020848","0020850",134.147070873
"0020849","0020852",209.264427098
"0020849","0069272",124.586845253
"0020850","0021329",977.069208737
"0020850","0069272",95.218599869
"0020851","0021330",862.44324321
"0020851","0021373",281.787471623
"0020852","0020851",161.788543604
"0020852","0021376",263.446658615
"0020853","0063335",104.357713007
"0020853","0077943",530.63488963
"0020854","0020855",259.258635369
"0020854","0078818",503.014201456
"0020855","0020856",262.202083256
"0020855","0078817",495.929294274
"0020856","0021433",257.160877857
"0020856","0078839",494.567226296
"0020927","0020935",277.718621727
"0020927","0078815",18.8528958608
"0020929","0020931",279.360694105
"0020931","0020932",274.853371348
"0020932","0020939",257.946538072
"0020935","0020936",257.370516599
"0020935","0078684",20.795647804
"0020936","0020937",257.565332111
"0020936","0078063",19.9416551055
"0020937","0020938",257.594488855
"0020937","0078064",21.2364484297
"0020938","0021437",257.481386687
"0020938","0078632",21.9690471052
"0020939","0020940",258.981065762
"0020940","0020941",255.742508245
"0020941","0021007",259.231012652
"0021007","0021494",256.797728682
"0021253","0021254",255.940014809
"0021254","0021251",899.753971111
"0021254","0021333",257.779314267
"0021331","0021332",257.479703295
"0021332","0021254",900.705569748
"0021332","0021336",257.393695114
"0021333","0021252",900.337973526
"0021333","0021334",257.892240959
"0021334","0021255",899.537031088
"0021334","0021335",255.93325428
"0021335","0021256",899.527181287
"0021335","0021337",262.668500945
"0021336","0021333",899.957984714
"0021336","0021380",258.237321152
"0021337","0021257",898.294111454
"0021337","0021338",252.062236564
"0021338","0021339",256.222522486
"0021339","0021260",900.287909513
"0021339","0021340",279.890749507
"0021340","0021341",900.347696978
"0021340","0021344",278.164016689
"0021344","0021342",900.561758916
"0021344","0021396",257.216602487
"0021373","0021331",761.339987224
"0021373","0021374",271.491743918
"0021374","0021332",665.643067209
"0021374","0021375",277.223864341
"0021375","0021336",566.329418625
"0021375","0021384",275.918198856
"0021376","0020856",506.837715137
"0021376","0021373",259.04867743
"0021376","0021377",255.924370873
"0021377","0021374",354.49827571
"0021377","0021378",256.568969273
"0021377","0021433",507.218324435
"0021378","0021375",453.64541441
"0021378","0021379",258.127924439
"0021378","0021434",507.358748206
"0021379","0021384",553.067570707
"0021379","0021435",507.295564596
"0021379","0021440",258.450551046
"0021380","0021334",899.883320921
"0021380","0021381",257.191998105
"0021381","0021335",900.376763093
"0021381","0021382",257.741220084
"0021382","0021337",901.027326632
"0021382","0021383",257.656426857
"0021383","0021338",901.069645458
"0021383","0021389",261.821370779
"0021384","0021380",467.766103338
"0021384","0021385",276.712106628
"0021385","0021381",368.296485516
"0021385","0021386",275.181426661
"0021386","0021382",272.271629859
"0021386","0021387",276.744284949
"0021387","0021383",169.770706106
"0021387","0021388",270.242875599
"0021388","0021389",78.7953498383
"0021388","0021390",171.362062346
"0021389","0021339",895.087435717
"0021389","0021390",149.600390366
"0021390","0021391",133.074519221
"0021390","0021392",115.438958828
"0021391","0021340",851.533859705
"0021391","0021393",296.796701738
"0021392","0021391",53.0129573391
"0021392","0021394",282.089366963
"0021393","0021344",746.908099712
"0021393","0021399",278.856045099
"0021394","0021393",154.551824143
"0021394","0021395",260.421737271
"0021395","0021399",252.184884504
"0021395","0021452",257.551991261
"0021396","0021343",897.889740846
"0021396","0021397",256.462301942
"0021397","0021345",898.309878797
"0021397","0021398",259.3522201
"0021398","0021346",899.87940771
"0021398","0021403",256.054131763
"0021399","0021396",648.551077893
"0021399","0021400",272.833955042
"0021400","0021397",554.744141327
"0021400","0021401",271.882324983
"0021401","0021398",468.004298367
"0021401","0021402",267.390131574
"0021402","0021403",394.677477977
"0021402","0021406",266.346354979
"0021403","0021347",900.458925376
"0021403","0021404",256.932940674
"0021404","0021348",899.035236633
"0021404","0021405",258.511011597
"0021405","0021349",896.697195477
"0021405","0021407",278.116903645
"0021406","0021404",324.858857914
"0021406","0021408",268.550134251
"0021407","0021409",900.139748589
"0021407","0021457",280.70504886
"0021408","0021405",255.39914063
"0021408","0021456",289.221540563
"0021413","0021411",532.392101539
"0021413","0021414",261.266271015
"0021414","0021412",532.24952701
"0021433","0021434",257.790848435
"0021433","0078841",496.558266871
"0021434","0021435",257.9504771
"0021434","0078840",493.926545623
"0021435","0021436",257.261250815
"0021435","0077895",493.595518889
"0021436","0021444",256.820134068
"0021436","0077894",494.190951205
"0021437","0021438",257.459630822
"0021437","0078881",20.628415406
"0021438","0021439",257.26880882
"0021438","0078630",21.3408877813
"0021439","0021492",257.682897757
"0021439","0078631",19.4833138458
"0021440","0021385",652.298442799
"0021440","0021436",507.403858577
"0021440","0021441",255.602366654
"0021441","0021386",747.726942879
"0021441","0021442",257.234494968
"0021441","0021444",507.924351755
"0021442","0021387",850.479833275
"0021442","0021443",258.266887174
"0021442","0021446",506.612575768
"0021443","0021388",945.950720261
"0021443","0021445",277.317771316
"0021443","0021447",507.009866969
"0021444","0021446",256.893379859
"0021444","0078604",494.659242987
"0021445","0021392",1015.59680438
"0021445","0021448",507.816625773
"0021445","0021449",276.427452858
"0021446","0021447",258.246561261
"0021446","0021493",512.38169066
"0021447","0021448",277.833050986
"0021447","0021502",511.176138537
"0021448","0021501",277.710912894
"0021449","0021394",1018.05237022
"0021449","0021450",259.201839034
"0021449","0021501",507.224786476
"0021450","0021395",1022.218824
"0021450","0021451",257.14609784
"0021450","0021508",506.044074855
"0021451","0021452",1021.37527523
"0021451","0021507",257.00947989
"0021451","0021509",507.159783927
"0021452","0021400",345.615428223
"0021452","0021453",257.370578554
"0021453","0021401",432.15124716
"0021453","0021454",258.618268549
"0021454","0021402",506.43544665
"0021454","0021455",256.953692507
"0021455","0021406",576.381165374
"0021455","0021459",258.606674713
"0021456","0021407",172.15800758
"0021457","0021410",899.265718654
"0021457","0021463",260.143977635
"0021458","0021457",96.1405747507
"0021459","0021408",646.598685358
"0021459","0021460",276.187614341
"0021460","0021456",724.750800118
"0021460","0021461",281.11241526
"0021461","0021458",801.401516563
"0021461","0021462",260.097947039
"0021462","0021464",840.153872128
"0021462","0021521",262.308728286
"0021463","0021413",363.774714115
"0021463","0021465",249.545662189
"0021464","0021463",61.397369039
"0021465","0021414",368.83958958
"0021465","0021467",278.530951741
"0021466","0021416",826.140856901
"0021467","0021466",74.5029781704
"0021467","0021469",257.162121961
"0021468","0021417",761.383580052
"0021468","0021470",269.789081027
"0021469","0021468",137.763320555
"0021469","0021472",264.502460127
"0021470","0021418",699.658051621
"0021470","0021471",261.94574845
"0021471","0021419",664.668220604
"0021471","0021473",263.064102567
"0021472","0021470",200.034357667
"0021472","0021474",255.702112037
"0021473","0021475",261.283569189
"0021473","0021477",650.86163426
"0021474","0021471",233.824983755
"0021474","0021476",265.585773936
"0021475","0021478",639.115877287
"0021475","0021482",260.628963156
"0021476","0021473",248.836082835
"0021476","0021530",260.319826526
"0021482","0021479",626.71780402
"0021482","0021534",263.678296032
"0021492","0078204",22.2981829476
"0021492","0103244",227.244297375
"0021493","0021497",513.096323739
"0021493","0021502",257.277974532
"0021494","0021495",256.98174516
"0021495","0021496",257.053109907
"0021496","0021497",257.257858323
"0021497","0021498",257.058003282
"0021498","0021506",278.662600779
"0021501","0021508",257.049736358
"0021502","0021498",514.079100967
"0021502","0087351",33.2668106434
"0021502","0103245",42.0451842139
"0021502","0103246",43.340364178
"0021507","0021453",1020.77948241
"0021507","0021510",507.37570598
"0021507","0021514",257.348225352
"0021508","0021509",257.811817597
"0021509","0021510",256.146412368
"0021510","0021511",258.825220997
"0021511","0021518",257.359697686
"0021514","0021454",1018.50589937
"0021514","0021511",506.810057668
"0021514","0021515",258.286043648
"0021515","0021455",1020.26239172
"0021515","0021516",257.103434263
"0021515","0021518",507.349250184
"0021516","0021517",277.639875166
"0021516","0021519",507.282712525
"0021517","0021460",1023.20421388
"0021517","0021520",507.972578335
"0021517","0021522",280.732037776
"0021518","0021519",257.928680972
"0021518","0078290",479.575432391
"0021519","0021520",274.937150377
"0021519","0078289",473.500094608
"0021520","0022491",284.251225393
"0021520","0022492",290.127287549
"0021521","0021465",897.764747126
